FrameCount, FrameSec , SSIM 
0,0.0s,0.8603496939724828
1,0.03s,0.859868111169941
2,0.07s,0.8599260847443267
3,0.1s,0.8602394985331059
4,0.13s,0.8594200598224978
5,0.17s,0.8598596343109164
6,0.2s,0.8604647981514626
7,0.23s,0.8598765141754354
8,0.27s,0.859682744873818
9,0.3s,0.8607740238372599
10,0.33s,0.8602169141083368
11,0.37s,0.8604811214141949
12,0.4s,0.8608429303349364
13,0.43s,0.8609440646881051
14,0.47s,0.8607244307382048
15,0.5s,0.8610281227700701
16,0.53s,0.8605733333190773
17,0.57s,0.8604729804690135
18,0.6s,0.8614747397138746
19,0.63s,0.8610570982271694
20,0.67s,0.8609863887316741
21,0.7s,0.8613576491115976
22,0.73s,0.8606117813778015
23,0.77s,0.8606145756388678
24,0.8s,0.8613531133212694
25,0.83s,0.8608867781464329
26,0.87s,0.8607448621093821
27,0.9s,0.8616256376584884
28,0.93s,0.8612265906364148
29,0.97s,0.8623982946187548
30,1.0s,0.861790905177199
31,1.03s,0.8613076106534764
32,1.07s,0.8623859755099951
33,1.1s,0.8617636540759409
34,1.13s,0.8617950374982511
35,1.17s,0.8625976964690433
36,1.2s,0.8616125080217881
37,1.23s,0.8615502104762877
38,1.27s,0.8623870822332834
39,1.3s,0.8616276510920732
40,1.33s,0.861889565503699
41,1.37s,0.8624351351290324
42,1.4s,0.8616567788997865
43,1.43s,0.8615519219308272
44,1.47s,0.86214162874918
45,1.5s,0.8612795344754717
46,1.53s,0.8613595147906428
47,1.57s,0.8619697832799308
48,1.6s,0.8616572261269496
49,1.63s,0.8615683670105257
50,1.67s,0.8619751237170797
51,1.7s,0.861361322174071
52,1.74s,0.8613685918984161
53,1.77s,0.8621718670693183
54,1.8s,0.8617840128357082
55,1.84s,0.8614055865548155
56,1.87s,0.8621894116223064
57,1.9s,0.862089836484103
58,1.94s,0.8625249506089379
59,1.97s,0.8620782622577021
60,2.0s,0.8616508295483802
61,2.04s,0.8623317700974383
62,2.07s,0.8610785902732285
63,2.1s,0.8613786608243478
64,2.14s,0.8623327952989621
65,2.17s,0.8613768899868891
66,2.2s,0.8610596106963739
67,2.24s,0.8620390370857343
68,2.27s,0.8611445438177489
69,2.3s,0.861267917431137
70,2.34s,0.8622111041247394
71,2.37s,0.8612894760874443
72,2.4s,0.8610602200449705
73,2.44s,0.8618717542633466
74,2.47s,0.8616094230409925
75,2.5s,0.8611819378122852
76,2.54s,0.8621314279698296
77,2.57s,0.8618808698163937
78,2.6s,0.8616361777529785
79,2.64s,0.8621986520392801
80,2.67s,0.8622814749237945
81,2.7s,0.8618062685318809
82,2.74s,0.8624999523430693
83,2.77s,0.861291158627254
84,2.8s,0.8615498459989487
85,2.84s,0.8621492590123707
86,2.87s,0.8626229840898724
87,2.9s,0.8627650615337991
88,2.94s,0.8622890475645558
89,2.97s,0.8623241351122743
90,3.0s,0.8625982630233485
91,3.04s,0.8624247786625615
92,3.07s,0.8624056772349992
93,3.1s,0.862351402914017
94,3.14s,0.8621352377396131
95,3.17s,0.8620486992344771
96,3.2s,0.8625549066350211
97,3.24s,0.8619463922557662
98,3.27s,0.8617355399613711
99,3.3s,0.8623181834287937
100,3.34s,0.8618388749941333
101,3.37s,0.8619421068564636
102,3.4s,0.8625895388440924
103,3.44s,0.8616247010637466
104,3.47s,0.8620764502268065
105,3.5s,0.8621136765324735
106,3.54s,0.8615773794983074
107,3.57s,0.8619980301122697
108,3.6s,0.8621685155050436
109,3.64s,0.8620429515542076
110,3.67s,0.8616962616774829
111,3.7s,0.8623731948202237
112,3.74s,0.8619332241854408
113,3.77s,0.8618145190880284
114,3.8s,0.8624041524724082
115,3.84s,0.8620564823064171
116,3.87s,0.862706314248786
117,3.9s,0.8616400105895575
118,3.94s,0.8615929117595366
119,3.97s,0.8623194543942555
120,4.0s,0.861505493830191
121,4.04s,0.8617078999026896
122,4.07s,0.8617893624799412
123,4.1s,0.8613328295008092
124,4.14s,0.8614085934694508
125,4.17s,0.862074233773598
126,4.2s,0.8610452694253858
127,4.24s,0.8613010131491112
128,4.27s,0.8614770927645817
129,4.3s,0.8615241179506342
130,4.34s,0.861588174011417
131,4.37s,0.8622431684615846
132,4.4s,0.8614316218545653
133,4.44s,0.861624024807535
134,4.47s,0.861743146785417
135,4.5s,0.8617686855306067
136,4.54s,0.8611969414480422
137,4.57s,0.8617503246284687
138,4.6s,0.8611757520571713
139,4.64s,0.8615477220829382
140,4.67s,0.8617723778139589
141,4.7s,0.8613181586351165
142,4.74s,0.8614379335934806
143,4.77s,0.861724894107566
144,4.8s,0.8615164310257181
145,4.84s,0.8621095189213928
146,4.87s,0.8619310441703503
147,4.9s,0.8617406574497647
148,4.94s,0.861673012592
149,4.97s,0.8609145820390102
150,5.01s,0.8611359990050887
151,5.04s,0.8615106533799913
152,5.07s,0.8614178025733571
153,5.11s,0.8613024536919145
154,5.14s,0.8618289970597967
155,5.17s,0.861285030061107
156,5.21s,0.8612842659908299
157,5.24s,0.8612935669298443
158,5.27s,0.8613940965877069
159,5.31s,0.8613890871788623
160,5.34s,0.8617860931462902
161,5.37s,0.8615204684199108
162,5.41s,0.8612837553106166
163,5.44s,0.8618556910884494
164,5.47s,0.8614558510712124
165,5.51s,0.861192297094929
166,5.54s,0.8616894257550393
167,5.57s,0.8616058324662602
168,5.61s,0.8610345337613401
169,5.64s,0.8620092281929809
170,5.67s,0.8611607241539027
171,5.71s,0.8613586693369845
172,5.74s,0.8618644921039998
173,5.77s,0.8618612836136524
174,5.81s,0.8617863437298775
175,5.84s,0.8611623063140526
176,5.87s,0.8608315091238716
177,5.91s,0.8612984949012801
178,5.94s,0.8603210478083954
179,5.97s,0.8599005758182344
180,6.01s,0.8611898051934851
181,6.04s,0.8597658266151926
182,6.07s,0.8605122858955795
183,6.11s,0.8611220529564338
184,6.14s,0.8603693878838367
185,6.17s,0.8603894511716721
186,6.21s,0.8611014086203727
187,6.24s,0.8605822998383266
188,6.27s,0.860510018077083
189,6.31s,0.8608553225637525
190,6.34s,0.8607065563334234
191,6.37s,0.8608683186862618
192,6.41s,0.860876433436113
193,6.44s,0.8603675112410002
194,6.47s,0.8605521902248384
195,6.51s,0.8611558803038503
196,6.54s,0.8603513821104106
197,6.57s,0.860001372502999
198,6.61s,0.8608853168748444
199,6.64s,0.8603604333749982
200,6.67s,0.8605806219301458
201,6.71s,0.8607648080904774
202,6.74s,0.8604494693303634
203,6.77s,0.8615393476062665
204,6.81s,0.8608428702939929
205,6.84s,0.860640702109761
206,6.87s,0.8614869827005931
207,6.91s,0.8603921899112151
208,6.94s,0.8613814958419824
209,6.97s,0.8603357535924325
210,7.01s,0.8604390058175272
211,7.04s,0.8610093986763094
212,7.07s,0.8601143959506871
213,7.11s,0.8608739730226663
214,7.14s,0.8606016565637123
215,7.17s,0.8601134128216797
216,7.21s,0.8602593185399696
217,7.24s,0.8604438669616913
218,7.27s,0.8596854426964463
219,7.31s,0.8601442172473615
220,7.34s,0.859916012886643
221,7.37s,0.8594651268777648
222,7.41s,0.8597788813374284
223,7.44s,0.8600080501734961
224,7.47s,0.8588892986933191
225,7.51s,0.8593660072954764
226,7.54s,0.8597845751323562
227,7.57s,0.8587909111252617
228,7.61s,0.8589485257877748
229,7.64s,0.8595675097266163
230,7.67s,0.8585960900713115
231,7.71s,0.8592679609723031
232,7.74s,0.8594369683705807
233,7.77s,0.8584593596640704
234,7.81s,0.8585123429202893
235,7.84s,0.859000586746299
236,7.87s,0.857750486264929
237,7.91s,0.8582113505156094
238,7.94s,0.8588504868921482
239,7.97s,0.8582341104344735
240,8.01s,0.854415224020809
241,8.04s,0.8558923855964875
242,8.07s,0.8558984563579456
243,8.11s,0.8569736854894972
244,8.14s,0.8560774465312236
245,8.17s,0.8565261968091508
246,8.21s,0.8562929619550074
247,8.24s,0.8560066037522792
248,8.27s,0.856203814336104
249,8.31s,0.8568991882889604
250,8.34s,0.8560583363853969
251,8.38s,0.8563607973297037
252,8.41s,0.8565912246681849
253,8.44s,0.8564690793197102
254,8.48s,0.8563497902355598
255,8.51s,0.8567659057212808
256,8.54s,0.8564419310898644
257,8.58s,0.856339351893762
258,8.61s,0.8565662532975756
259,8.64s,0.8565747977028518
260,8.68s,0.8566588922882638
261,8.71s,0.8581881520940459
262,8.74s,0.8579875120013778
263,8.78s,0.8576629942821228
264,8.81s,0.8582335824122244
265,8.84s,0.8577899669991963
266,8.88s,0.858059226910099
267,8.91s,0.8577499705106796
268,8.94s,0.8569569857534042
269,8.98s,0.856730134241463
270,9.01s,0.8572716244522011
271,9.04s,0.8564236339592326
272,9.08s,0.8568067608636692
273,9.11s,0.8572913295819463
274,9.14s,0.8563321346955121
275,9.18s,0.8564129787988802
276,9.21s,0.8570071994228607
277,9.24s,0.8560851256509211
278,9.28s,0.8559944401167471
279,9.31s,0.8566910510984994
280,9.34s,0.856009828253573
281,9.38s,0.8557820316051553
282,9.41s,0.856389324115412
283,9.44s,0.8559045777614794
284,9.48s,0.8556183289425782
285,9.51s,0.856698148586589
286,9.54s,0.8555893934534148
287,9.58s,0.8556390739872395
288,9.61s,0.8560285499002095
289,9.64s,0.855809841781022
290,9.68s,0.8548789924248544
291,9.71s,0.8543662278969397
292,9.74s,0.8541472248385618
293,9.78s,0.8546896869720032
294,9.81s,0.8536469385470887
295,9.84s,0.8539629556477375
296,9.88s,0.8532453213612201
297,9.91s,0.853322972003356
298,9.94s,0.8544298390743664
299,9.98s,0.8535795154237454
300,10.01s,0.8532576158629093
301,10.04s,0.8539979188414573
302,10.08s,0.8536805004382496
303,10.11s,0.8536268815478966
304,10.14s,0.8544731625698727
305,10.18s,0.8535138352271749
306,10.21s,0.8537661672178264
307,10.24s,0.8543225323857616
308,10.28s,0.8534473255643461
309,10.31s,0.8542826952380099
310,10.34s,0.8546503613162916
311,10.38s,0.8537418053723506
312,10.41s,0.8538852555252762
313,10.44s,0.8545891509436258
314,10.48s,0.8539205656605825
315,10.51s,0.8536666413294673
316,10.54s,0.8542193740463713
317,10.58s,0.8541053313864807
318,10.61s,0.8545934243407101
319,10.64s,0.855286972640485
320,10.68s,0.8543117854262534
321,10.71s,0.8542541980204138
322,10.74s,0.8548563110013038
323,10.78s,0.8543392342238073
324,10.81s,0.8540549345222089
325,10.84s,0.8547696852956447
326,10.88s,0.8543286326838012
327,10.91s,0.8545112694372973
328,10.94s,0.8547114826792442
329,10.98s,0.8543308840738802
330,11.01s,0.8542291031021255
331,11.04s,0.8550815193286767
332,11.08s,0.8541338467761662
333,11.11s,0.8542951570652376
334,11.14s,0.8546740746149917
335,11.18s,0.8542060014613572
336,11.21s,0.8540142356410599
337,11.24s,0.8546828033664234
338,11.28s,0.8540111040524083
339,11.31s,0.8541574434410214
340,11.34s,0.8547219354308253
341,11.38s,0.8543298158811075
342,11.41s,0.8545773329233503
343,11.44s,0.855090270486278
344,11.48s,0.8547160210939523
345,11.51s,0.8541448097190377
346,11.54s,0.8549900866088954
347,11.58s,0.8550216184220892
348,11.61s,0.8560788221402383
349,11.64s,0.8549508047373529
350,11.68s,0.8557438963474832
351,11.71s,0.8554515938899924
352,11.75s,0.8550092800354312
353,11.78s,0.854829567429797
354,11.81s,0.8558120093949918
355,11.85s,0.8551311698695215
356,11.88s,0.8554025725230124
357,11.91s,0.8557313326619941
358,11.95s,0.8552129417452449
359,11.98s,0.8553561215730671
360,12.01s,0.8555055796342481
361,12.05s,0.8554232138356433
362,12.08s,0.8551217257884693
363,12.11s,0.85530763651338
364,12.15s,0.8549925969442048
365,12.18s,0.8550406084155401
366,12.21s,0.8557575989663103
367,12.25s,0.8551778140813427
368,12.28s,0.855182431377001
369,12.31s,0.8559770028060734
370,12.35s,0.8554661086806669
371,12.38s,0.8554701209818601
372,12.41s,0.8559540274017539
373,12.45s,0.8549108658351509
374,12.48s,0.8550667452523216
375,12.51s,0.8558064921757033
376,12.55s,0.8554796334595919
377,12.58s,0.8546599531623199
378,12.61s,0.853863253993401
379,12.65s,0.8537817289103126
380,12.68s,0.8545075869566231
381,12.71s,0.8541844384717217
382,12.75s,0.8541462775436183
383,12.78s,0.8545196040846846
384,12.81s,0.8539728347461747
385,12.85s,0.8539731814640952
386,12.88s,0.8546326713885302
387,12.91s,0.854032193813303
388,12.95s,0.8545227208492919
389,12.98s,0.8545745847680427
390,13.01s,0.854153295235283
391,13.05s,0.8542055887739686
392,13.08s,0.854773187234065
393,13.11s,0.8542856339247918
394,13.15s,0.8543454536460552
395,13.18s,0.8546370236973116
396,13.21s,0.8534785265579591
397,13.25s,0.8539434288552848
398,13.28s,0.8547400228213015
399,13.31s,0.8544590380446125
400,13.35s,0.8544205204278198
401,13.38s,0.8549064173847544
402,13.41s,0.8539688384864689
403,13.45s,0.8544303085127704
404,13.48s,0.8556041751792506
